root of term,terms,accuracy,precision,recall,Fscore,tp,fp,tn,fn
loop,[looping],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
entiti,[entity],0.791374146938324,0.0,0.0,0.0,0,2,789,206
renam,[rename],0.791374146938324,0.0,0.0,0.0,0,2,789,206
matcher,[matcher],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
reconcil,[reconcile],0.791374146938324,0.0,0.0,0.0,0,2,789,206
ref,[ref],0.7883650660514832,0.0,0.0,0.0,0,5,786,206
writer,[writer],0.791374146938324,0.0,0.0,0.0,0,2,789,206
captur,[capture],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
non,[non],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
float,[float],0.7893680930137634,0.0,0.0,0.0,0,4,787,206
verbos,[verbose],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
compound,[compound],0.791374146938324,0.0,0.0,0.0,0,2,789,206
recov,[recovered],0.7803410291671753,0.0,0.0,0.0,0,13,778,206
prefer,[preference],0.791374146938324,0.0,0.0,0.0,0,2,789,206
verif,[verification],0.791374146938324,0.0,0.0,0.0,0,2,789,206
param,[param],0.791374146938324,0.0,0.0,0.0,0,2,789,206
infer,[inference],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
directori,[directory],0.7883650660514832,0.0,0.0,0.0,0,5,786,206
memori,[memory],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
syntax,[syntax],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
propag,[propagator],0.791374146938324,0.0,0.0,0.0,0,2,789,206
track,[tracked],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
posit,[position],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
struct,[struct],0.791374146938324,0.0,0.0,0.0,0,2,789,206
check,[check],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
debug,[debug],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
rule,[rule],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
queue,[queue],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
boolean,[boolean],0.791374146938324,0.0,0.0,0.0,0,2,789,206
pars,[parsing],0.791374146938324,0.0,0.0,0.0,0,2,789,206
all,[all],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
write,[write],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
statu,[status],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
catch,[catch],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
claus,[clause],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
remov,[remove],0.791374146938324,0.0,0.0,0.0,0,2,789,206
from,[from],0.791374146938324,0.0,0.0,0.0,0,2,789,206
build,[build],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
user,[user],0.7893680930137634,0.0,0.0,0.0,0,4,787,206
librari,[library],0.7893680930137634,0.0,0.0,0.0,0,4,787,206
optim,[optimized],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
replac,[replace],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
edit,[edit],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
modifi,[modify; modifier],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
listen,[listener],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
configur,[configurable],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
kei,[key],0.7883650660514832,0.0,0.0,0.0,0,5,786,206
object,[object],0.7873620986938477,0.0,0.0,0.0,0,6,785,206
answer,[answer],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
marker,[marker],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
registri,[registry],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
visibl,[visible],0.791374146938324,0.0,0.0,0.0,0,2,789,206
do,[do],0.791374146938324,0.0,0.0,0.0,0,2,789,206
gener,[generic],0.791374146938324,0.0,0.0,0.0,0,2,789,206
abort,[abort],0.7873620986938477,0.0,0.0,0.0,0,6,785,206
infix,[infix],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
word,[word],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
synchron,[synchronized],0.791374146938324,0.0,0.0,0.0,0,2,789,206
